,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1970
569,Afghanistan,AFG,TOT,Kosovo,XKX,..
570,Afghanistan,AFG,TOT,Kuwait,KWT,1323
571,Afghanistan,AFG,TOT,Kyrgyz Republic,KGZ,0
572,Afghanistan,AFG,TOT,Lao PDR,LAO,0
573,Afghanistan,AFG,TOT,Latvia,LVA,0
574,Afghanistan,AFG,TOT,Lebanon,LBN,49
575,Afghanistan,AFG,TOT,Lesotho,LSO,0
576,Afghanistan,AFG,TOT,Liberia,LBR,0
577,Afghanistan,AFG,TOT,Libya,LBY,225
578,Afghanistan,AFG,TOT,Liechtenstein,LIE,0
579,Afghanistan,AFG,TOT,Lithuania,LTU,0
580,Afghanistan,AFG,TOT,Luxembourg,LUX,1
581,Afghanistan,AFG,TOT,"Macao SAR, China",MAC,1
582,Afghanistan,AFG,TOT,"Macedonia, FYR",MKD,0
583,Afghanistan,AFG,TOT,Madagascar,MDG,0
584,Afghanistan,AFG,TOT,Malawi,MWI,0
585,Afghanistan,AFG,TOT,Malaysia,MYS,7
586,Afghanistan,AFG,TOT,Maldives,MDV,5
587,Afghanistan,AFG,TOT,Mali,MLI,0
588,Afghanistan,AFG,TOT,Malta,MLT,0
589,Afghanistan,AFG,TOT,Marshall Islands,MHL,1
590,Afghanistan,AFG,TOT,Martinique,MTQ,0
591,Afghanistan,AFG,TOT,Mauritania,MRT,0
592,Afghanistan,AFG,TOT,Mauritius,MUS,0
593,Afghanistan,AFG,TOT,Mayotte,MYT,0
594,Afghanistan,AFG,TOT,Mexico,MEX,16
595,Afghanistan,AFG,TOT,"Micronesia, Fed. Sts.",FSM,0
596,Afghanistan,AFG,TOT,Moldova,MDA,0
597,Afghanistan,AFG,TOT,Monaco,MCO,0
598,Afghanistan,AFG,TOT,Mongolia,MNG,0
599,Afghanistan,AFG,TOT,Montenegro,MNE,..
600,Afghanistan,AFG,TOT,Montserrat,MSR,0
601,Afghanistan,AFG,TOT,Morocco,MAR,20
602,Afghanistan,AFG,TOT,Mozambique,MOZ,0
603,Afghanistan,AFG,TOT,Myanmar,MMR,11
604,Afghanistan,AFG,TOT,Namibia,NAM,0
605,Afghanistan,AFG,TOT,Naura,NRU,2
606,Afghanistan,AFG,TOT,Nepal,NPL,18
607,Afghanistan,AFG,TOT,Netherlands,NLD,0
608,Afghanistan,AFG,TOT,Netherlands Antilles,ANT,0
609,Afghanistan,AFG,TOT,New Caledonia,NCL,1
610,Afghanistan,AFG,TOT,New Zealand,NZL,74
611,Afghanistan,AFG,TOT,Nicaragua,NIC,18
612,Afghanistan,AFG,TOT,Niger,NER,0
613,Afghanistan,AFG,TOT,Nigeria,NGA,0
614,Afghanistan,AFG,TOT,Niue,NIU,0
615,Afghanistan,AFG,TOT,Norfolk Island,NFK,0
616,Afghanistan,AFG,TOT,Northern Mariana Islands,MNP,0
617,Afghanistan,AFG,TOT,Norway,NOR,0
618,Afghanistan,AFG,TOT,Oman,OMN,116
619,Afghanistan,AFG,TOT,Pakistan,PAK,27957
620,Afghanistan,AFG,TOT,Palau,PLW,0
621,Afghanistan,AFG,TOT,Panama,PAN,0
622,Afghanistan,AFG,TOT,Papua New Guinea,PNG,0
623,Afghanistan,AFG,TOT,Paraguay,PRY,0
624,Afghanistan,AFG,TOT,Peru,PER,1
625,Afghanistan,AFG,TOT,Philippines,PHL,8
626,Afghanistan,AFG,TOT,Poland,POL,2
627,Afghanistan,AFG,TOT,Portugal,PRT,3
628,Afghanistan,AFG,TOT,Puerto Rico,PRI,0
629,Afghanistan,AFG,TOT,Qatar,QAT,261
630,Afghanistan,AFG,TOT,Reunion,REU,0
631,Afghanistan,AFG,TOT,Romania,ROU,0
632,Afghanistan,AFG,TOT,Russian Federation,RUS,0
633,Afghanistan,AFG,TOT,Rwanda,RWA,0
634,Afghanistan,AFG,TOT,Saint Helena,SHN,0
635,Afghanistan,AFG,TOT,Saint Pierre and Miquelon,SPM,0
636,Afghanistan,AFG,TOT,Samoa,WSM,0
637,Afghanistan,AFG,TOT,San Marino,SMR,0
638,Afghanistan,AFG,TOT,Sao Tome and Principe,STP,0
639,Afghanistan,AFG,TOT,Saudi Arabia,SAU,887
640,Afghanistan,AFG,TOT,Senegal,SEN,0
641,Afghanistan,AFG,TOT,Serbia,SRB,..
642,Afghanistan,AFG,TOT,Serbia and Montenegro,SCG,3
643,Afghanistan,AFG,TOT,Seychelles,SYC,0
644,Afghanistan,AFG,TOT,Sierra Leone,SLE,0
645,Afghanistan,AFG,TOT,Singapore,SGP,4
646,Afghanistan,AFG,TOT,Slovak Republic,SVK,0
647,Afghanistan,AFG,TOT,Slovenia,SVN,0
