,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,2000
338,Afghanistan,AFG,MAL,Kosovo,XKX,..
339,Afghanistan,AFG,MAL,Kuwait,KWT,52306
340,Afghanistan,AFG,MAL,Kyrgyz Republic,KGZ,767
341,Afghanistan,AFG,MAL,Lao PDR,LAO,0
342,Afghanistan,AFG,MAL,Latvia,LVA,29
343,Afghanistan,AFG,MAL,Lebanon,LBN,12048
344,Afghanistan,AFG,MAL,Lesotho,LSO,0
345,Afghanistan,AFG,MAL,Liberia,LBR,0
346,Afghanistan,AFG,MAL,Libya,LBY,499
347,Afghanistan,AFG,MAL,Liechtenstein,LIE,0
348,Afghanistan,AFG,MAL,Lithuania,LTU,22
349,Afghanistan,AFG,MAL,Luxembourg,LUX,1
350,Afghanistan,AFG,MAL,"Macao SAR, China",MAC,2
351,Afghanistan,AFG,MAL,"Macedonia, FYR",MKD,12
352,Afghanistan,AFG,MAL,Madagascar,MDG,0
353,Afghanistan,AFG,MAL,Malawi,MWI,0
354,Afghanistan,AFG,MAL,Malaysia,MYS,60
355,Afghanistan,AFG,MAL,Maldives,MDV,2
356,Afghanistan,AFG,MAL,Mali,MLI,0
357,Afghanistan,AFG,MAL,Malta,MLT,3
358,Afghanistan,AFG,MAL,Marshall Islands,MHL,0
359,Afghanistan,AFG,MAL,Martinique,MTQ,0
360,Afghanistan,AFG,MAL,Mauritania,MRT,0
361,Afghanistan,AFG,MAL,Mauritius,MUS,0
362,Afghanistan,AFG,MAL,Mayotte,MYT,0
363,Afghanistan,AFG,MAL,Mexico,MEX,9
364,Afghanistan,AFG,MAL,"Micronesia, Fed. Sts.",FSM,0
365,Afghanistan,AFG,MAL,Moldova,MDA,0
366,Afghanistan,AFG,MAL,Monaco,MCO,4
367,Afghanistan,AFG,MAL,Mongolia,MNG,0
368,Afghanistan,AFG,MAL,Montenegro,MNE,..
369,Afghanistan,AFG,MAL,Montserrat,MSR,0
370,Afghanistan,AFG,MAL,Morocco,MAR,5
371,Afghanistan,AFG,MAL,Mozambique,MOZ,0
372,Afghanistan,AFG,MAL,Myanmar,MMR,3
373,Afghanistan,AFG,MAL,Namibia,NAM,0
374,Afghanistan,AFG,MAL,Naura,NRU,0
375,Afghanistan,AFG,MAL,Nepal,NPL,36
376,Afghanistan,AFG,MAL,Netherlands,NLD,15524
377,Afghanistan,AFG,MAL,Netherlands Antilles,ANT,0
378,Afghanistan,AFG,MAL,New Caledonia,NCL,1
379,Afghanistan,AFG,MAL,New Zealand,NZL,414
380,Afghanistan,AFG,MAL,Nicaragua,NIC,15
381,Afghanistan,AFG,MAL,Niger,NER,0
382,Afghanistan,AFG,MAL,Nigeria,NGA,0
383,Afghanistan,AFG,MAL,Niue,NIU,0
384,Afghanistan,AFG,MAL,Norfolk Island,NFK,0
385,Afghanistan,AFG,MAL,Northern Mariana Islands,MNP,4
386,Afghanistan,AFG,MAL,Norway,NOR,359
387,Afghanistan,AFG,MAL,Oman,OMN,797
388,Afghanistan,AFG,MAL,Pakistan,PAK,9480
389,Afghanistan,AFG,MAL,Palau,PLW,2
390,Afghanistan,AFG,MAL,Panama,PAN,0
391,Afghanistan,AFG,MAL,Papua New Guinea,PNG,9
392,Afghanistan,AFG,MAL,Paraguay,PRY,3
393,Afghanistan,AFG,MAL,Peru,PER,6
394,Afghanistan,AFG,MAL,Philippines,PHL,363
395,Afghanistan,AFG,MAL,Poland,POL,145
396,Afghanistan,AFG,MAL,Portugal,PRT,0
397,Afghanistan,AFG,MAL,Puerto Rico,PRI,0
398,Afghanistan,AFG,MAL,Qatar,QAT,27209
399,Afghanistan,AFG,MAL,Reunion,REU,0
400,Afghanistan,AFG,MAL,Romania,ROU,0
401,Afghanistan,AFG,MAL,Russian Federation,RUS,253
402,Afghanistan,AFG,MAL,Rwanda,RWA,0
403,Afghanistan,AFG,MAL,Saint Helena,SHN,0
404,Afghanistan,AFG,MAL,Saint Pierre and Miquelon,SPM,0
405,Afghanistan,AFG,MAL,Samoa,WSM,0
406,Afghanistan,AFG,MAL,San Marino,SMR,0
407,Afghanistan,AFG,MAL,Sao Tome and Principe,STP,0
408,Afghanistan,AFG,MAL,Saudi Arabia,SAU,8312
409,Afghanistan,AFG,MAL,Senegal,SEN,0
410,Afghanistan,AFG,MAL,Serbia,SRB,..
411,Afghanistan,AFG,MAL,Serbia and Montenegro,SCG,3
412,Afghanistan,AFG,MAL,Seychelles,SYC,0
413,Afghanistan,AFG,MAL,Sierra Leone,SLE,0
414,Afghanistan,AFG,MAL,Singapore,SGP,57
415,Afghanistan,AFG,MAL,Slovak Republic,SVK,66
416,Afghanistan,AFG,MAL,Slovenia,SVN,1
417,Afghanistan,AFG,MAL,Solomon Islands,SLB,0
418,Afghanistan,AFG,MAL,Somalia,SOM,0
419,Afghanistan,AFG,MAL,South Africa,ZAF,26
420,Afghanistan,AFG,MAL,Spain,ESP,82
421,Afghanistan,AFG,MAL,Sri Lanka,LKA,42
422,Afghanistan,AFG,MAL,St. Kitts and Nevis,KNA,0
423,Afghanistan,AFG,MAL,St. Lucia,LCA,0
424,Afghanistan,AFG,MAL,St. Vincent and the Grenadines,VCT,0
425,Afghanistan,AFG,MAL,Sudan,SDN,5
426,Afghanistan,AFG,MAL,Suriname,SUR,0
427,Afghanistan,AFG,MAL,Swaziland,SWZ,0
428,Afghanistan,AFG,MAL,Sweden,SWE,2353
429,Afghanistan,AFG,MAL,Switzerland,CHE,1319
430,Afghanistan,AFG,MAL,Syrian Arab Republic,SYR,4990
431,Afghanistan,AFG,MAL,"Taiwan, China",TWN,0
432,Afghanistan,AFG,MAL,Tajikistan,TJK,970
433,Afghanistan,AFG,MAL,Tanzania,TZA,4
434,Afghanistan,AFG,MAL,Thailand,THA,306
435,Afghanistan,AFG,MAL,Timor-Leste,TLS,0
436,Afghanistan,AFG,MAL,Togo,TGO,0
437,Afghanistan,AFG,MAL,Tokelau,TKL,0
438,Afghanistan,AFG,MAL,Tonga,TON,1
439,Afghanistan,AFG,MAL,Trinidad and Tobago,TTO,0
440,Afghanistan,AFG,MAL,Tunisia,TUN,53
441,Afghanistan,AFG,MAL,Turkey,TUR,5485
442,Afghanistan,AFG,MAL,Turkmenistan,TKM,0
443,Afghanistan,AFG,MAL,Turks and Caicos Islands,TCA,0
444,Afghanistan,AFG,MAL,Tuvalu,TUV,0
445,Afghanistan,AFG,MAL,Uganda,UGA,0
446,Afghanistan,AFG,MAL,Ukraine,UKR,90
447,Afghanistan,AFG,MAL,United Arab Emirates,ARE,21290
