Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1980
Afghanistan,AFG,MAL,Libya,LBY,283
Afghanistan,AFG,MAL,Liechtenstein,LIE,0
Afghanistan,AFG,MAL,Lithuania,LTU,0
Afghanistan,AFG,MAL,Luxembourg,LUX,2
Afghanistan,AFG,MAL,"Macao SAR, China",MAC,2
Afghanistan,AFG,MAL,"Macedonia, FYR",MKD,0
Afghanistan,AFG,MAL,Madagascar,MDG,0
Afghanistan,AFG,MAL,Malawi,MWI,0
Afghanistan,AFG,MAL,Malaysia,MYS,11
Afghanistan,AFG,MAL,Maldives,MDV,0
Afghanistan,AFG,MAL,Mali,MLI,0
Afghanistan,AFG,MAL,Malta,MLT,0
Afghanistan,AFG,MAL,Marshall Islands,MHL,0
Afghanistan,AFG,MAL,Martinique,MTQ,0
Afghanistan,AFG,MAL,Mauritania,MRT,0
Afghanistan,AFG,MAL,Mauritius,MUS,0
Afghanistan,AFG,MAL,Mayotte,MYT,0
Afghanistan,AFG,MAL,Mexico,MEX,2
Afghanistan,AFG,MAL,"Micronesia, Fed. Sts.",FSM,0
Afghanistan,AFG,MAL,Moldova,MDA,0
Afghanistan,AFG,MAL,Monaco,MCO,3
Afghanistan,AFG,MAL,Mongolia,MNG,0
Afghanistan,AFG,MAL,Montenegro,MNE,..
Afghanistan,AFG,MAL,Montserrat,MSR,0
Afghanistan,AFG,MAL,Morocco,MAR,6
Afghanistan,AFG,MAL,Mozambique,MOZ,0
Afghanistan,AFG,MAL,Myanmar,MMR,4
Afghanistan,AFG,MAL,Namibia,NAM,0
Afghanistan,AFG,MAL,Naura,NRU,3
Afghanistan,AFG,MAL,Nepal,NPL,13
Afghanistan,AFG,MAL,Netherlands,NLD,0
Afghanistan,AFG,MAL,Netherlands Antilles,ANT,0
Afghanistan,AFG,MAL,New Caledonia,NCL,0
Afghanistan,AFG,MAL,New Zealand,NZL,69
Afghanistan,AFG,MAL,Nicaragua,NIC,12
Afghanistan,AFG,MAL,Niger,NER,0
Afghanistan,AFG,MAL,Nigeria,NGA,1
Afghanistan,AFG,MAL,Niue,NIU,0
Afghanistan,AFG,MAL,Norfolk Island,NFK,0
