,Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,2000
107,Afghanistan,AFG,FEM,Kosovo,XKX,..
108,Afghanistan,AFG,FEM,Kuwait,KWT,36044
109,Afghanistan,AFG,FEM,Kyrgyz Republic,KGZ,407
110,Afghanistan,AFG,FEM,Lao PDR,LAO,0
111,Afghanistan,AFG,FEM,Latvia,LVA,3
112,Afghanistan,AFG,FEM,Lebanon,LBN,11670
113,Afghanistan,AFG,FEM,Lesotho,LSO,0
114,Afghanistan,AFG,FEM,Liberia,LBR,0
115,Afghanistan,AFG,FEM,Libya,LBY,511
116,Afghanistan,AFG,FEM,Liechtenstein,LIE,0
117,Afghanistan,AFG,FEM,Lithuania,LTU,13
118,Afghanistan,AFG,FEM,Luxembourg,LUX,0
119,Afghanistan,AFG,FEM,"Macao SAR, China",MAC,2
120,Afghanistan,AFG,FEM,"Macedonia, FYR",MKD,16
121,Afghanistan,AFG,FEM,Madagascar,MDG,2
122,Afghanistan,AFG,FEM,Malawi,MWI,0
123,Afghanistan,AFG,FEM,Malaysia,MYS,43
124,Afghanistan,AFG,FEM,Maldives,MDV,2
125,Afghanistan,AFG,FEM,Mali,MLI,0
126,Afghanistan,AFG,FEM,Malta,MLT,2
127,Afghanistan,AFG,FEM,Marshall Islands,MHL,0
128,Afghanistan,AFG,FEM,Martinique,MTQ,0
129,Afghanistan,AFG,FEM,Mauritania,MRT,1
130,Afghanistan,AFG,FEM,Mauritius,MUS,0
131,Afghanistan,AFG,FEM,Mayotte,MYT,0
132,Afghanistan,AFG,FEM,Mexico,MEX,0
133,Afghanistan,AFG,FEM,"Micronesia, Fed. Sts.",FSM,0
134,Afghanistan,AFG,FEM,Moldova,MDA,0
135,Afghanistan,AFG,FEM,Monaco,MCO,4
136,Afghanistan,AFG,FEM,Mongolia,MNG,0
137,Afghanistan,AFG,FEM,Montenegro,MNE,..
138,Afghanistan,AFG,FEM,Montserrat,MSR,0
139,Afghanistan,AFG,FEM,Morocco,MAR,4
140,Afghanistan,AFG,FEM,Mozambique,MOZ,0
141,Afghanistan,AFG,FEM,Myanmar,MMR,3
142,Afghanistan,AFG,FEM,Namibia,NAM,0
143,Afghanistan,AFG,FEM,Naura,NRU,0
144,Afghanistan,AFG,FEM,Nepal,NPL,38
145,Afghanistan,AFG,FEM,Netherlands,NLD,11431
146,Afghanistan,AFG,FEM,Netherlands Antilles,ANT,0
147,Afghanistan,AFG,FEM,New Caledonia,NCL,2
148,Afghanistan,AFG,FEM,New Zealand,NZL,313
149,Afghanistan,AFG,FEM,Nicaragua,NIC,10
150,Afghanistan,AFG,FEM,Niger,NER,0
151,Afghanistan,AFG,FEM,Nigeria,NGA,0
152,Afghanistan,AFG,FEM,Niue,NIU,0
153,Afghanistan,AFG,FEM,Norfolk Island,NFK,0
154,Afghanistan,AFG,FEM,Northern Mariana Islands,MNP,5
155,Afghanistan,AFG,FEM,Norway,NOR,292
156,Afghanistan,AFG,FEM,Oman,OMN,351
157,Afghanistan,AFG,FEM,Pakistan,PAK,4981
158,Afghanistan,AFG,FEM,Palau,PLW,0
159,Afghanistan,AFG,FEM,Panama,PAN,0
160,Afghanistan,AFG,FEM,Papua New Guinea,PNG,2
161,Afghanistan,AFG,FEM,Paraguay,PRY,2
162,Afghanistan,AFG,FEM,Peru,PER,2
163,Afghanistan,AFG,FEM,Philippines,PHL,388
164,Afghanistan,AFG,FEM,Poland,POL,20
165,Afghanistan,AFG,FEM,Portugal,PRT,0
166,Afghanistan,AFG,FEM,Puerto Rico,PRI,0
167,Afghanistan,AFG,FEM,Qatar,QAT,8233
168,Afghanistan,AFG,FEM,Reunion,REU,0
169,Afghanistan,AFG,FEM,Romania,ROU,0
170,Afghanistan,AFG,FEM,Russian Federation,RUS,153
171,Afghanistan,AFG,FEM,Rwanda,RWA,0
172,Afghanistan,AFG,FEM,Saint Helena,SHN,0
173,Afghanistan,AFG,FEM,Saint Pierre and Miquelon,SPM,0
174,Afghanistan,AFG,FEM,Samoa,WSM,0
175,Afghanistan,AFG,FEM,San Marino,SMR,0
176,Afghanistan,AFG,FEM,Sao Tome and Principe,STP,0
177,Afghanistan,AFG,FEM,Saudi Arabia,SAU,4434
178,Afghanistan,AFG,FEM,Senegal,SEN,0
179,Afghanistan,AFG,FEM,Serbia,SRB,..
180,Afghanistan,AFG,FEM,Serbia and Montenegro,SCG,3
181,Afghanistan,AFG,FEM,Seychelles,SYC,0
182,Afghanistan,AFG,FEM,Sierra Leone,SLE,0
183,Afghanistan,AFG,FEM,Singapore,SGP,124
184,Afghanistan,AFG,FEM,Slovak Republic,SVK,7
185,Afghanistan,AFG,FEM,Slovenia,SVN,0
186,Afghanistan,AFG,FEM,Solomon Islands,SLB,0
187,Afghanistan,AFG,FEM,Somalia,SOM,0
188,Afghanistan,AFG,FEM,South Africa,ZAF,0
189,Afghanistan,AFG,FEM,Spain,ESP,41
190,Afghanistan,AFG,FEM,Sri Lanka,LKA,40
191,Afghanistan,AFG,FEM,St. Kitts and Nevis,KNA,0
192,Afghanistan,AFG,FEM,St. Lucia,LCA,0
193,Afghanistan,AFG,FEM,St. Vincent and the Grenadines,VCT,0
194,Afghanistan,AFG,FEM,Sudan,SDN,5
195,Afghanistan,AFG,FEM,Suriname,SUR,0
196,Afghanistan,AFG,FEM,Swaziland,SWZ,0
197,Afghanistan,AFG,FEM,Sweden,SWE,1886
198,Afghanistan,AFG,FEM,Switzerland,CHE,1076
199,Afghanistan,AFG,FEM,Syrian Arab Republic,SYR,4182
200,Afghanistan,AFG,FEM,"Taiwan, China",TWN,0
201,Afghanistan,AFG,FEM,Tajikistan,TJK,601
202,Afghanistan,AFG,FEM,Tanzania,TZA,3
203,Afghanistan,AFG,FEM,Thailand,THA,289
204,Afghanistan,AFG,FEM,Timor-Leste,TLS,0
205,Afghanistan,AFG,FEM,Togo,TGO,0
206,Afghanistan,AFG,FEM,Tokelau,TKL,0
207,Afghanistan,AFG,FEM,Tonga,TON,0
208,Afghanistan,AFG,FEM,Trinidad and Tobago,TTO,0
209,Afghanistan,AFG,FEM,Tunisia,TUN,59
210,Afghanistan,AFG,FEM,Turkey,TUR,4144
211,Afghanistan,AFG,FEM,Turkmenistan,TKM,0
212,Afghanistan,AFG,FEM,Turks and Caicos Islands,TCA,0
213,Afghanistan,AFG,FEM,Tuvalu,TUV,0
214,Afghanistan,AFG,FEM,Uganda,UGA,0
215,Afghanistan,AFG,FEM,Ukraine,UKR,107
216,Afghanistan,AFG,FEM,United Arab Emirates,ARE,5139
217,Afghanistan,AFG,FEM,United Kingdom,GBR,3
218,Afghanistan,AFG,FEM,United States,USA,21776
219,Afghanistan,AFG,FEM,Uruguay,URY,0
220,Afghanistan,AFG,FEM,Uzbekistan,UZB,0
221,Afghanistan,AFG,FEM,Vanuatu,VUT,0
222,Afghanistan,AFG,FEM,"Venezuela, RB",VEN,4
223,Afghanistan,AFG,FEM,Vietnam,VNM,7
224,Afghanistan,AFG,FEM,Virgin Islands (U.S.),VIR,0
225,Afghanistan,AFG,FEM,"Virgin Islands, British",VGB,0
226,Afghanistan,AFG,FEM,Wallis and Futuna,WLF,0
227,Afghanistan,AFG,FEM,West Bank and Gaza,PSE,57
228,Afghanistan,AFG,FEM,"Yemen, Rep.",YEM,1041
229,Afghanistan,AFG,FEM,Zambia,ZMB,0
230,Afghanistan,AFG,FEM,Zimbabwe,ZWE,0
693,Albania,ALB,FEM,Afghanistan,AFG,0
694,Albania,ALB,FEM,Albania,ALB,0
695,Albania,ALB,FEM,Algeria,DZA,1
696,Albania,ALB,FEM,American Samoa,ASM,0
697,Albania,ALB,FEM,Andorra,AND,67
698,Albania,ALB,FEM,Angola,AGO,0
699,Albania,ALB,FEM,Anguilla,AIA,0
700,Albania,ALB,FEM,Antigua and Barbuda,ATG,0
701,Albania,ALB,FEM,Argentina,ARG,0
702,Albania,ALB,FEM,Armenia,ARM,4
703,Albania,ALB,FEM,Aruba,ABW,0
704,Albania,ALB,FEM,Australia,AUS,636
705,Albania,ALB,FEM,Austria,AUT,1189
706,Albania,ALB,FEM,Azerbaijan,AZE,0
707,Albania,ALB,FEM,"Bahamas, The",BHS,0
708,Albania,ALB,FEM,Bahrain,BHR,0
709,Albania,ALB,FEM,Bangladesh,BGD,0
710,Albania,ALB,FEM,Barbados,BRB,0
711,Albania,ALB,FEM,Belarus,BLR,0
712,Albania,ALB,FEM,Belgium,BEL,1198
713,Albania,ALB,FEM,Belize,BLZ,2
714,Albania,ALB,FEM,Benin,BEN,7
715,Albania,ALB,FEM,Bermuda,BMU,1
716,Albania,ALB,FEM,Bhutan,BTN,0
717,Albania,ALB,FEM,Bolivia,BOL,7
718,Albania,ALB,FEM,Bosnia and Herzegovina,BIH,299
719,Albania,ALB,FEM,Botswana,BWA,0
720,Albania,ALB,FEM,Brazil,BRA,0
721,Albania,ALB,FEM,Brunei Darussalam,BRN,0
722,Albania,ALB,FEM,Bulgaria,BGR,196
723,Albania,ALB,FEM,Burkina Faso,BFA,0
724,Albania,ALB,FEM,Burundi,BDI,0
725,Albania,ALB,FEM,Cambodia,KHM,2
726,Albania,ALB,FEM,Cameroon,CMR,4
727,Albania,ALB,FEM,Canada,CAN,2756
728,Albania,ALB,FEM,Cape Verde,CPV,6
729,Albania,ALB,FEM,Cayman Islands,CYM,0
730,Albania,ALB,FEM,Central African Republic,CAF,2
731,Albania,ALB,FEM,Chad,TCD,0
732,Albania,ALB,FEM,Channel Islands,CHI,..
733,Albania,ALB,FEM,Chile,CHL,14
734,Albania,ALB,FEM,China,CHN,0
735,Albania,ALB,FEM,Colombia,COL,21
736,Albania,ALB,FEM,Comoros,COM,0
737,Albania,ALB,FEM,"Congo, Dem. Rep.",COD,126
738,Albania,ALB,FEM,"Congo, Rep.",COG,3
739,Albania,ALB,FEM,Cook Islands,COK,0
740,Albania,ALB,FEM,Costa Rica,CRI,0
741,Albania,ALB,FEM,Cote d'Ivoire,CIV,8
742,Albania,ALB,FEM,Croatia,HRV,93
743,Albania,ALB,FEM,Cuba,CUB,28
744,Albania,ALB,FEM,Cyprus,CYP,55
745,Albania,ALB,FEM,Czech Republic,CZE,76
746,Albania,ALB,FEM,Denmark,DNK,53
747,Albania,ALB,FEM,Djibouti,DJI,0
748,Albania,ALB,FEM,Dominica,DMA,0
749,Albania,ALB,FEM,Dominican Republic,DOM,15
750,Albania,ALB,FEM,Ecuador,ECU,12
751,Albania,ALB,FEM,"Egypt, Arab Rep.",EGY,40
752,Albania,ALB,FEM,El Salvador,SLV,0
753,Albania,ALB,FEM,Equatorial Guinea,GNQ,0
754,Albania,ALB,FEM,Eritrea,ERI,0
755,Albania,ALB,FEM,Estonia,EST,0
756,Albania,ALB,FEM,Ethiopia,ETH,6
757,Albania,ALB,FEM,Faeroe Islands,FRO,0
758,Albania,ALB,FEM,Falkland Islands (Malvinas),FLK,0
759,Albania,ALB,FEM,Fiji,FJI,0
760,Albania,ALB,FEM,Finland,FIN,20
761,Albania,ALB,FEM,France,FRA,16389
762,Albania,ALB,FEM,French Guiana,GUF,0
763,Albania,ALB,FEM,French Polynesia,PYF,0
764,Albania,ALB,FEM,Gabon,GAB,10
765,Albania,ALB,FEM,"Gambia, The",GMB,4
766,Albania,ALB,FEM,Georgia,GEO,0
767,Albania,ALB,FEM,Germany,DEU,116723
768,Albania,ALB,FEM,Ghana,GHA,12
769,Albania,ALB,FEM,Gibraltar,GIB,1
770,Albania,ALB,FEM,Greece,GRC,174024
771,Albania,ALB,FEM,Greenland,GRL,0
772,Albania,ALB,FEM,Grenada,GRD,0
773,Albania,ALB,FEM,Guadeloupe,GLP,2
774,Albania,ALB,FEM,Guam,GUM,0
775,Albania,ALB,FEM,Guatemala,GTM,1
776,Albania,ALB,FEM,Guinea,GIN,5
777,Albania,ALB,FEM,Guinea-Bissau,GNB,0
778,Albania,ALB,FEM,Guyana,GUY,0
779,Albania,ALB,FEM,Haiti,HTI,0
780,Albania,ALB,FEM,Honduras,HND,1
781,Albania,ALB,FEM,"Hong Kong SAR, China",HKG,6
782,Albania,ALB,FEM,Hungary,HUN,199
783,Albania,ALB,FEM,Iceland,ISL,13
784,Albania,ALB,FEM,India,IND,30
785,Albania,ALB,FEM,Indonesia,IDN,14
786,Albania,ALB,FEM,"Iran, Islamic Rep.",IRN,1
787,Albania,ALB,FEM,Iraq,IRQ,0
788,Albania,ALB,FEM,Ireland,IRL,64
789,Albania,ALB,FEM,Isle of Man,IMN,..
790,Albania,ALB,FEM,Israel,ISR,225
791,Albania,ALB,FEM,Italy,ITA,129823
792,Albania,ALB,FEM,Jamaica,JAM,0
793,Albania,ALB,FEM,Japan,JPN,0
794,Albania,ALB,FEM,Jordan,JOR,9
795,Albania,ALB,FEM,Kazakhstan,KAZ,0
796,Albania,ALB,FEM,Kenya,KEN,0
797,Albania,ALB,FEM,Kiribati,KIR,0
798,Albania,ALB,FEM,"Korea, Dem. Rep.",PRK,0
799,Albania,ALB,FEM,"Korea, Rep.",KOR,0
800,Albania,ALB,FEM,Kosovo,XKX,..
801,Albania,ALB,FEM,Kuwait,KWT,7
802,Albania,ALB,FEM,Kyrgyz Republic,KGZ,3
803,Albania,ALB,FEM,Lao PDR,LAO,0
804,Albania,ALB,FEM,Latvia,LVA,4
805,Albania,ALB,FEM,Lebanon,LBN,56
806,Albania,ALB,FEM,Lesotho,LSO,0
807,Albania,ALB,FEM,Liberia,LBR,0
808,Albania,ALB,FEM,Libya,LBY,0
809,Albania,ALB,FEM,Liechtenstein,LIE,0
810,Albania,ALB,FEM,Lithuania,LTU,1
811,Albania,ALB,FEM,Luxembourg,LUX,99
812,Albania,ALB,FEM,"Macao SAR, China",MAC,0
813,Albania,ALB,FEM,"Macedonia, FYR",MKD,1404
814,Albania,ALB,FEM,Madagascar,MDG,6
815,Albania,ALB,FEM,Malawi,MWI,0
816,Albania,ALB,FEM,Malaysia,MYS,9
817,Albania,ALB,FEM,Maldives,MDV,0
818,Albania,ALB,FEM,Mali,MLI,0
819,Albania,ALB,FEM,Malta,MLT,0
820,Albania,ALB,FEM,Marshall Islands,MHL,0
821,Albania,ALB,FEM,Martinique,MTQ,0
822,Albania,ALB,FEM,Mauritania,MRT,0
823,Albania,ALB,FEM,Mauritius,MUS,0
824,Albania,ALB,FEM,Mayotte,MYT,0
825,Albania,ALB,FEM,Mexico,MEX,2
826,Albania,ALB,FEM,"Micronesia, Fed. Sts.",FSM,0
827,Albania,ALB,FEM,Moldova,MDA,0
828,Albania,ALB,FEM,Monaco,MCO,45
829,Albania,ALB,FEM,Mongolia,MNG,0
830,Albania,ALB,FEM,Montenegro,MNE,..
831,Albania,ALB,FEM,Montserrat,MSR,0
832,Albania,ALB,FEM,Morocco,MAR,0
833,Albania,ALB,FEM,Mozambique,MOZ,0
834,Albania,ALB,FEM,Myanmar,MMR,5
835,Albania,ALB,FEM,Namibia,NAM,0
